sector,project_name,original_cost_cr,revised_cost_cr,anticipated_cost_cr,expenditure_cum_cr,cost_overrun_pct,overrun_flag,overrun_ratio
POWER,VISHNUGAD PIPALKOTI HYDRO ELECTRIC PROJECT - [N18000042,2491.58,,3860.35,3730.12,54.94,1,0.5493582385474277
POWER,TEHRI PUMPED STORAGE PLANT(1000MW) - [N18000010,1657.0,,4825.6,6484.41,191.23,1,1.9122510561255284
RAILWAYS,WARDHA-NANDED MAHARASHTRA - [N22000231,3168.29,,3445.48,2394.71,8.75,1,0.08748883467106863
RAILWAYS,AHMEDNAGAR-PARLI VAIJNATH(NL) CR - [220100181,2271.5,,4805.17,4072.18,111.54,1,1.1154171252476337
RAILWAYS,WARDHA-BALHARSHAH - 3RD LINE (132 KM) - [N22000356,1272.19,,1384.72,1021.24,8.85,1,0.0884537686980718
RAILWAYS,PUNE-MIRAJ-LONDA (467 KM) - [N22000359,3627.47,3627.0,6463.49,3737.52,78.18,1,0.7818176304697214
RAILWAYS,DAUND - MANMAD (236 KM) - [N22000360,1876.0,,2081.27,2056.27,10.94,1,0.1094189765458422
RAILWAYS,PACHORA-JAMNER WITH EXTENSION UPTO MALKAPUR NG TO BG - [N22000511,955.0,,955.39,56.34,0.04,1,0.00040837696335077107
RAILWAYS,WESTERN DEDICATED FREIGHT CORRIDOR - [N22000464,16592.0,51101.0,51101.0,47476.0,207.99,1,2.079857762777242
RAILWAYS,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR - [220100303",528.65,,2087.36,2134.42,294.85,1,2.948472524354488
RAILWAYS,"JAYANAGAR-DARBHANGA-NARKATIA GANJ(GC),ECR - [220100240",324.73,,1250.0,1213.4,284.94,1,2.849351769162073
RAILWAYS,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR) - [220100257,162.87,,614.45,428.0,277.26,1,2.77264075643151
RAILWAYS,SAMASTIPUR-DARBANGHA - [N22000329,380.0,,519.33,479.66,36.67,1,0.36665789473684224
RAILWAYS,"KODERMA-TILAIYA (NL), ECR - [220100305",459.91,,1625.87,1631.92,253.52,1,2.53519166793503
RAILWAYS,SAKRI-HASANPUR ROAD (NL) - [N22000171,325.0,,735.2,560.99,126.22,1,1.2621538461538464
RAILWAYS,SAKRI-NIRMALI AND JHANJHARPUR-LAUKAHABAZAR AND SAHARSA-FORBESGANJ (GC) - [N22000180,372.14,,2350.0,2383.17,531.48,1,5.314827752996185
RAILWAYS,JAYNAGAR-BIJALPURA INCLUDING EXTENSION BIJALPURA-BARDIBAS(NEPAL) GC - [N22000181,548.0,,783.83,543.54,43.03,1,0.43034671532846724
RAILWAYS,KIUL - GAYA DOUBLING PROJECT - [N22000349,1200.2,,1771.07,,47.56,1,0.4756457257123812
RAILWAYS,RAMNA - SINGRAULI DOUBLING - [N22000417,2436.21,,2880.4,2782.71,18.23,1,0.18232828861222966
RAILWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
RAILWAYS,KARAILA ROAD - SHAKTINAGAR DOUBLING - [N22000419,528.57,,762.97,698.2,44.35,1,0.4434606580017783
RAILWAYS,SAGAULI VALMIKINAGAR DOUBLING 109.7 KM - [N22000472,744.04,,1215.54,1254.17,63.37,1,0.6337024891134886
RAILWAYS,MUZAFFARPUR SAGAULI DOUBLING 100.60 KM - [N22000473,731.64,,1250.0,1265.86,70.85,1,0.7084905144606638
RAILWAYS,"FATUHA-ISLAMPUR INCL. MM FOR EXTENSION OF NEW LINE FORM BIHARSHARIF-BARBIGHA, DANIYAWAN- BIHARSHARIF, - [N22000476",329.39,,2722.16,2303.36,726.42,1,7.264246030541304
RAILWAYS,PARASNATH-MADHUBAN-GIRIDIH - [N22000527,816.03,,902.86,3.08,10.64,1,0.10640540176219017
RAILWAYS,DOUBLING OF PRADHANKHUNTA JN -PATHERDIH BAZAR-BHOJUDIH - [N22000529,202.0,,349.22,,72.88,1,0.7288118811881189
RAILWAYS,TALCHER-BIMALAGARH(NL)(ECOR) - [220100328,810.78,,1928.07,1409.3,137.8,1,1.3780433656478945
RAILWAYS,KHURDA ROAD-BOLANGIR(NL)ECOR - [220100284,2923.13,,5089.37,3692.11,74.11,1,0.7410686490166362
RAILWAYS,KIRANDUL - JAGDALPUR DOUBLING - [N22000318,1160.0,,1440.0,1373.16,24.14,1,0.2413793103448276
RAILWAYS,JARAPADA - BUDHAPANK WITH FLY OVER AT TALCHER ROAD 3RD AND 4TH LINE - [N22000380,701.61,,810.02,179.43,15.45,1,0.1545160416755747
RAILWAYS,JEYPORE NABARANGPUR NEWLINE - [N22000517,499.99,,747.91,,49.59,1,0.49584991699833986
RAILWAYS,TALCHER - ANGUL NEW LINE WITH Y CONNECTION AT TALCHER - [N22000518,278.96,495.0,494.62,,77.31,1,0.7730857470605106
RAILWAYS,BRUNDAMAL-JHARSUGUDA- FLYOVER CONNECTION FOR JOINING DN LINE - [N22000521,48.44,297.0,297.0,,513.13,1,5.131296449215525
RAILWAYS,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER - [220100272",1188.91,,1619.51,1044.76,36.22,1,0.36218048464559965
RAILWAYS,PIRPAINTI-JASIDIH - [N22000219,915.98,,2137.81,789.25,133.39,1,1.3339046704076507
RAILWAYS,KHARSIA DHARAMJAIGARH WITH SPUR LINE EAST CORRIDOR-PHASE I - [N22000489,3055.0,,3438.39,2807.27,12.55,1,0.12549590834697213
RAILWAYS,EAST WEST METRO CORRIDOR KOLKATA - [N22000628,4874.58,8575.0,10442.41,,114.22,1,1.1422173807794722
RAILWAYS,"EXTENSION OF MRTS FROM VELACHERY TO STN. THOMAS, MTP - [N22000028",495.74,,734.01,625.57,48.06,1,0.48063501028765077
RAILWAYS,EAST WEST METRO CORRIDOR FROM HOWRAH MAIDAN TO SALT LAKE - [N22000135,4874.58,,10442.41,8008.94,114.22,1,1.1422173807794722
RAILWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
RAILWAYS,GWALIOR-SEOPURKALA WITH EXTENSION TO KOTA (GC) - [N22000148,2912.96,,3845.6,1024.32,32.02,1,0.3201691749972536
RAILWAYS,BHANDAI - FLYOVER FOR ETAWAH BOUND DOWN TRAINS - [N22000564,187.21,,250.17,1.62,33.63,1,0.3363068212168152
RAILWAYS,"BHAIRABI SAIRONG, NL, NEFR - [N22000100",2393.47,,8605.0,7306.77,259.52,1,2.5951986028652967
RAILWAYS,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR) - [220100288,4454.17,,19602.68,14499.92,340.1,1,3.4009725717698247
RAILWAYS,"NEW B.G. LINE FROM ARARIA TO GALGALIA (THAKURGUNG), NEFR - [N22000087",532.87,,4359.32,2522.93,718.08,1,7.1808320978850375
RAILWAYS,NEW LINE FROM DIMAPUR TO ZUBZA(KOHIMA) NATIONAL PROJECT (NEFR) - [N22000124,2326.52,,6663.0,3390.46,186.39,1,1.8639341161907053
RAILWAYS,"SEVOK RANGPO, NEFR - [N22000102",1339.48,,7876.92,3290.96,488.06,1,4.8805805237853495
RAILWAYS,NEW BONGAIGAON-RANGIA-KAMAKGHYA DOUBLING - [N22000183,1798.0,,2832.35,2760.4,57.53,1,0.57527808676307
RAILWAYS,AGARTALA-AKHAURA NL - [N22000195,569.63,,708.73,380.92,24.42,1,0.24419359935396664
RAILWAYS,NEW BG LINE FROM BYRNIHAT TO SHILLONG - [N22000205,906.46,,8324.28,269.8,818.33,1,8.183284425126315
RAILWAYS,NEW BG LINE FROM BALURGHAT TO HILLY NFR - [N22000206,242.22,,1208.73,386.56,399.02,1,3.9902155065642804
RAILWAYS,NEW BG LINE FROM JAGBANI TO BIRATNAGAR - [N22000207,241.52,,401.65,343.3,66.3,1,0.6630092745942363
RAILWAYS,MURKONGSELEK-PASIGHAT NL - [N22000208,414.84,,1220.25,506.04,194.15,1,1.941495516343651
RAILWAYS,BONGAIGAON-GOALPARA-GUWAHATI (176 KM) - [N22000388,2232.32,,4155.65,3342.93,86.16,1,0.8615834647362383
RAILWAYS,CHHAPRA-BALLIA UP - [N22000134,295.0,,954.0,958.58,223.39,1,2.233898305084746
RAILWAYS,BURHWAL - GONDA - 3RD RUNNING LINE. - [N22000468,602.5,,714.96,747.12,18.67,1,0.1866556016597511
RAILWAYS,"SHAHGANJ-BHATNI-PHEPHNA-INDARA, MAU-SHAHGANJ (EXCL. MAU-INDARA) PATCH DOUBLING. - [N22000470",1177.96,,1777.39,1730.87,50.89,1,0.5088712689734796
RAILWAYS,SAHJANWA - DOHRIGHAT - [N22000565,371.77,,1319.75,363.37,254.99,1,2.549909890523711
RAILWAYS,BAHRAICH SRAVASTI BALRAMPUR (TULSIPUR) - [N22000569,1600.0,,4939.78,726.83,208.74,1,2.0873625
RAILWAYS,DOMINGARH - GORAKHPUR - GORAKHPUR CANTT - KUSUMHI - 3RD RUNNING LINE (21.15 KM) - [N22000613,186.85,,457.68,406.56,144.95,1,1.4494514316296496
RAILWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
RAILWAYS,"DAUSA-GANGAPUR CITY(NL),NWR - [220100184",410.08,,1020.0,1038.91,148.73,1,1.4873195474053846
RAILWAYS,PHULERA - DIGANA DOUBLING - [N22000326,600.0,,701.81,712.11,16.97,1,0.16968333333333324
RAILWAYS,TARANGA HILL ABU ROAD VIA AMBAJI NEW LINE - [N22000592,1695.82,,2798.16,590.63,65.0,1,0.6500336120578835
RAILWAYS,DEOBAND (MUZAFFARNAGAR)- ROORKEE NL - [N22000274,336.91,,791.39,572.99,134.9,1,1.3489655991214269
